,k1,k2,k3,k4
0,0.200,0.200,0.200,0.200
1,0.130,0.210,0.230,0.240
2,0.130,0.220,0.230,0.240
3,0.140,0.190,0.230,0.240
4,0.140,0.200,0.210,0.240
5,0.140,0.200,0.220,0.230
6,0.140,0.200,0.220,0.240
7,0.140,0.200,0.230,0.240
8,0.140,0.210,0.220,0.230
9,0.140,0.210,0.220,0.240
10,0.140,0.210,0.230,0.240
11,0.140,0.220,0.230,0.240
12,0.150,0.170,0.230,0.240
13,0.150,0.180,0.220,0.240
14,0.150,0.180,0.230,0.240
15,0.150,0.190,0.210,0.230
16,0.150,0.190,0.210,0.240
17,0.150,0.190,0.220,0.230
18,0.150,0.190,0.220,0.240
19,0.150,0.190,0.230,0.240
20,0.150,0.200,0.210,0.220
21,0.150,0.200,0.210,0.230
22,0.150,0.200,0.210,0.240
23,0.150,0.200,0.220,0.230
24,0.150,0.200,0.220,0.240
25,0.150,0.200,0.230,0.240
26,0.150,0.210,0.220,0.230
27,0.150,0.210,0.220,0.240
28,0.150,0.210,0.230,0.240
29,0.150,0.220,0.230,0.240
30,0.160,0.170,0.210,0.240
31,0.160,0.170,0.220,0.230
32,0.160,0.170,0.220,0.240
33,0.160,0.170,0.230,0.240
34,0.160,0.180,0.200,0.240
35,0.160,0.180,0.210,0.230
36,0.160,0.180,0.210,0.240
37,0.160,0.180,0.220,0.230
38,0.160,0.180,0.220,0.240
39,0.160,0.180,0.230,0.240
40,0.160,0.190,0.200,0.220
41,0.160,0.190,0.200,0.230
42,0.160,0.190,0.200,0.240
43,0.160,0.190,0.210,0.220
44,0.160,0.190,0.210,0.230
45,0.160,0.190,0.210,0.240
46,0.160,0.190,0.220,0.230
47,0.160,0.190,0.220,0.240
48,0.160,0.190,0.230,0.240
49,0.160,0.200,0.210,0.220
50,0.160,0.200,0.210,0.230
51,0.160,0.200,0.210,0.240
52,0.160,0.200,0.220,0.230
53,0.160,0.200,0.220,0.240
54,0.160,0.200,0.230,0.240
55,0.160,0.210,0.220,0.230
56,0.160,0.210,0.220,0.240
57,0.160,0.210,0.230,0.240
58,0.160,0.220,0.230,0.240
59,0.170,0.180,0.190,0.230
60,0.170,0.180,0.190,0.240
61,0.170,0.180,0.200,0.220
62,0.170,0.180,0.200,0.230
63,0.170,0.180,0.200,0.240
64,0.170,0.180,0.210,0.220
65,0.170,0.180,0.210,0.230
66,0.170,0.180,0.210,0.240
67,0.170,0.180,0.220,0.230
68,0.170,0.180,0.220,0.240
69,0.170,0.180,0.230,0.240
70,0.170,0.190,0.200,0.210
71,0.170,0.190,0.200,0.220
72,0.170,0.190,0.200,0.230
73,0.170,0.190,0.200,0.240
74,0.170,0.190,0.210,0.220
75,0.170,0.190,0.210,0.230
76,0.170,0.190,0.210,0.240
77,0.170,0.190,0.220,0.230
78,0.170,0.190,0.220,0.240
79,0.170,0.190,0.230,0.240
80,0.170,0.200,0.210,0.220
81,0.170,0.200,0.210,0.230
82,0.170,0.200,0.210,0.240
83,0.170,0.200,0.220,0.230
84,0.170,0.200,0.220,0.240
85,0.170,0.200,0.230,0.240
86,0.170,0.210,0.220,0.230
87,0.170,0.210,0.220,0.240
88,0.170,0.210,0.230,0.240
89,0.180,0.190,0.200,0.210
90,0.180,0.190,0.200,0.220
91,0.180,0.190,0.200,0.230
92,0.180,0.190,0.200,0.240
93,0.180,0.190,0.210,0.220
94,0.180,0.190,0.210,0.230
95,0.180,0.190,0.210,0.240
96,0.180,0.190,0.220,0.230
97,0.180,0.190,0.220,0.240
98,0.180,0.190,0.230,0.240
99,0.180,0.200,0.210,0.220
100,0.180,0.200,0.210,0.230
101,0.180,0.200,0.210,0.240
102,0.180,0.200,0.220,0.230
103,0.180,0.200,0.220,0.240
104,0.180,0.200,0.230,0.240
105,0.180,0.210,0.220,0.230
106,0.180,0.210,0.220,0.240
107,0.190,0.200,0.210,0.220
108,0.190,0.200,0.210,0.230
109,0.190,0.200,0.210,0.240
110,0.190,0.200,0.220,0.230
